User_ID,Recipe_ID,Recipe_Name,Vegetarian,Chicken,Egg,Cheese,Milk,Paneer,Rice,Vegetables,Fruits,Sugar,Chocolate,Spices,Chili,Protein,Healthy,Sweet,Spicy,User_Likes_Recipe
4,1,Chili Paneer,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0
34,2,Paneer Butter Masala,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,1
8,3,Mixed Veg Curry,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1,1
14,4,Egg Bhurji,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0
22,5,Grilled Fish,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1
9,6,Loaded Cheese Fries,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1
37,7,Rasgulla,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1
29,8,Rasgulla,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
2,9,Quinoa Salad,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
29,10,Chicken Curry,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1
8,11,Cheesy Pasta,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1
31,12,Paneer Butter Masala,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0
9,13,Cream Cheese Sandwich,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1
25,14,Rasgulla,1,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,1
13,15,Paneer Butter Masala,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0
16,16,Protein Power Bowl,0,1,1,0,1,0,1,1,0,0,0,1,0,1,1,0,0,1
30,17,Paneer Butter Masala,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,1
33,18,Sprouts Bowl,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1
11,19,Sweet Rice Kheer,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1
20,20,Quinoa Salad,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
39,21,Mixed Veg Curry,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,1
38,22,Lentil Soup,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
8,23,Butter Rice,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1
18,24,Mixed Veg Curry,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1
36,25,Paneer Butter Masala,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1
18,26,Boiled Egg Salad,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
19,27,Quinoa Salad,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
17,28,Cheese Loaded Pizza,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1
17,29,Steamed Vegetables,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,1
25,30,Quinoa Salad,1,0,0,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0
22,31,Gulab Jamun,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
23,32,Gulab Jamun,1,0,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0,1
36,33,Protein Power Bowl,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,1,1
30,34,Chili Paneer,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1
5,35,Vegetable Pulao,1,1,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1
20,36,Grilled Chicken,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0
11,37,Paneer Butter Masala,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
2,38,Cream Cheese Sandwich,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1
2,39,Spicy Chicken Wings,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
10,40,Chicken Biryani,1,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1
29,41,Butter Rice,1,0,0,1,1,0,1,0,1,1,1,0,0,0,0,1,0,1
25,42,Sweet Rice Kheer,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
20,43,Chocolate Milkshake,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0
2,44,Loaded Cheese Fries,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
8,45,Cheese Loaded Pizza,1,0,1,0,0,1,1,0,0,0,0,1,1,1,0,1,1,1
19,46,Steamed Vegetables,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,1,0
23,47,Sweet Rice Kheer,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1
37,48,Cheese Loaded Pizza,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1
36,49,Spicy Chicken Wings,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
34,50,Quinoa Salad,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0
12,51,Chocolate Brownie,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
15,52,Chili Paneer,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1
39,53,Multigrain Roti with Veggies,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0
16,54,Chili Paneer,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0
37,55,Fruit Salad Bowl,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1
6,56,Steamed Vegetables,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1
3,57,Chocolate Milkshake,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0
40,58,Lentil Soup,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1
7,59,Steamed Vegetables,0,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,1,1
35,60,Chocolate Milkshake,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
14,61,Multigrain Roti with Veggies,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0
11,62,Sweet Rice Kheer,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1
25,63,Egg Bhurji,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1
17,64,Lentil Soup,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
38,65,Egg Bhurji,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,1
2,66,Egg Bhurji,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
11,67,Cheese Loaded Pizza,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0
18,68,Lentil Soup,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0
24,69,Protein Power Bowl,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
23,70,Chili Paneer,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,1
36,71,Sweet Rice Kheer,0,0,1,1,1,0,1,0,0,1,0,0,1,1,1,0,0,1
28,72,Protein Power Bowl,0,1,1,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0
34,73,Gulab Jamun,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0
34,74,Chicken Curry,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1
9,75,Paneer Butter Masala,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1
12,76,Quinoa Salad,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
12,77,Cheese Loaded Pizza,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1
34,78,Sweet Rice Kheer,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
36,79,Palak Paneer,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1
24,80,Multigrain Roti with Veggies,1,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,1
25,81,Grilled Fish,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1
6,82,Grilled Chicken,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
22,83,Chili Paneer,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0
1,84,Loaded Cheese Fries,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1
26,85,Vegetable Pulao,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1
27,86,Quinoa Salad,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1
15,87,Multigrain Roti with Veggies,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0
31,88,Butter Rice,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,1
35,89,Hot & Spicy Noodles,0,1,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0
32,90,Chicken Biryani,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0
1,91,Grilled Chicken,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1
23,92,Rasgulla,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0,1,0,1
28,93,Rasgulla,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0
32,94,Egg Bhurji,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1
12,95,Cheese Loaded Pizza,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1
23,96,Boiled Egg Salad,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1
34,97,Steamed Vegetables,1,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,1,1
19,98,Rasgulla,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,1
4,99,Butter Rice,1,0,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,1
28,100,Protein Power Bowl,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1
6,101,Cream Cheese Sandwich,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0
31,102,Spicy Chicken Wings,0,0,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1
21,103,Cheese Loaded Pizza,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1
25,104,Boiled Egg Salad,1,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0
21,105,Butter Rice,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0
22,106,Spicy Chicken Wings,1,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1
19,107,Spicy Chicken Wings,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0
40,108,Lentil Soup,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
38,109,Chicken Biryani,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0
21,110,Grilled Fish,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
35,111,Butter Rice,1,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,1,1
14,112,Grilled Chicken,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1
24,113,Sweet Rice Kheer,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1
30,114,Chili Paneer,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1
35,115,Gulab Jamun,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1
19,116,Quinoa Salad,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1
18,117,Sprouts Bowl,1,0,1,1,1,0,1,0,0,0,0,1,0,1,1,1,1,1
39,118,Chili Paneer,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1
19,119,Chocolate Milkshake,1,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1
37,120,Vegetable Pulao,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1
29,121,Loaded Cheese Fries,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0
9,122,Steamed Vegetables,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1
1,123,Steamed Vegetables,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1
24,124,Sweet Rice Kheer,1,0,0,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0
29,125,Chili Paneer,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1
11,126,Cheese Loaded Pizza,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1
27,127,Chicken Curry,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1
11,128,Grilled Chicken,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0
19,129,Fruit Salad Bowl,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
19,130,Palak Paneer,1,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1
30,131,Vegetable Pulao,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1
39,132,Cream Cheese Sandwich,1,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0
20,133,Sprouts Bowl,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1
29,134,Rasgulla,1,0,0,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0
